HIP 	HD 	V 	UT of observation 	JD 	RV 	          log R'_HK
101905 	196390 	7.33 	2012-04-30/07:22:32 	2 456 047.81274 	27.12 ± 0.69 	-4.731
102040 	197076A 	6.44 	2011-09-08/23:19:07 	2 455 813.47075 	-36.21 ± 0.65 	-4.927
102152 	197027 	9.21 	2012-02-23/09:26:19 	2 455 980.89334 	-44.02 ± 0.16 	-4.989
103983 	200565 	8.45 	2012-04-30/07:50:57 	2 456 047.83226 	-2.71 ± 0.54 	-4.843
104045 	200633 	8.41 	2012-05-01/03:06:25 	2 456 048.63470 	45.00 ± 0.25 	-4.969
105184 	202628 	6.74 	2011-06-24/03:15:19 	2 455 736.64065 	11.79 ± 0.46 	-4.720
108158 	207700 	7.42 	2011-09-08/23:34:42 	2 455 813.48209 	6.37 ± 0.39 	-4.974
108468 	208704 	7.21 	2011-09-09/00:21:41 	2 455 813.51498 	3.32 ± 0.61 	-4.975
108996 	209562 	8.88 	2011-09-09/00:38:13 	2 455 813.52649 	12.26 ± 0.57 	-4.466
109110 	209779 	7.57 	2011-06-24/03:33:29 	2 455 736.65361 	-10.79 ± 0.38 	-4.490
109821 	210918 	6.23 	2011-09-10/05:47:08 	2 455 814.74547 	-19.24 ± 0.58 	-5.004
114615 	219057 	9.59 	2012-04-30/06:25:21 	2 456 047.77076 	0.55 ± 0.61 	-4.838
115577 	220507 	7.60 	2012-04-30/08:03:52 	2 456 047.83881 	23.85 ± 0.85 	-5.020
116906 	222582 	7.68 	2011-09-10/06:51:23 	2 455 814.79000 	12.15 ± 0.21 	-4.978
117367 	223238 	7.71 	2011-06-23/06:23:10 	2 455 735.77134 	-15.37 ± 0.26 	-5.013
118115 	224383 	7.85 	2011-09-09/00:57:17 	2 455 813.54221 	-31.23 ± 0.16 	-4.995
