HIP 	HD 	T eff 	σ(Teff) 	log g 	σ(log g) 	[Fe/H] 	σ( [Fe/H]) 	v t 	σ(vt) 	M 	σ(M) 	τ 	τ − σ 	τ + σ
19911 	26990 	5764 	12 	4.47 	0.04 	−0.070 	0.011 	1.02 	0.03 	0.987 	0.012 	4.0 	2.4 	5.5
21079 	28904 	5846 	11 	4.50 	0.03 	−0.070 	0.008 	1.09 	0.02 	1.026 	0.009 	0.8 	0.4 	2.4
22263 	30495 	5840 	8 	4.50 	0.02 	0.030 	0.007 	1.08 	0.02 	1.053 	0.007 	0.5 	0.2 	1.6
22395 	30774 	5789 	8 	4.43 	0.02 	0.084 	0.008 	1.11 	0.02 	1.033 	0.006 	4.0 	3.1 	4.7
25670 	36152 	5771 	5 	4.44 	0.02 	0.057 	0.005 	1.00 	0.01 	1.025 	0.005 	4.5 	3.4 	4.9
28066 	39881 	5733 	5 	4.29 	0.01 	−0.128 	0.004 	1.05 	0.01 	0.959 	0.003 	9.7 	9.4 	10.0
29432 	42618 	5758 	5 	4.44 	0.01 	−0.096 	0.005 	1.01 	0.01 	0.974 	0.007 	5.4 	4.6 	6.0
29525 	42807 	5737 	7 	4.49 	0.02 	−0.022 	0.007 	1.12 	0.02 	0.997 	0.007 	2.9 	1.8 	4.0
30037 	45021 	5668 	5 	4.42 	0.01 	−0.011 	0.004 	0.94 	0.01 	0.961 	0.004 	6.7 	6.1 	7.3
30158 	44665 	5702 	5 	4.46 	0.02 	0.003 	0.006 	0.94 	0.02 	0.988 	0.008 	4.5 	3.4 	5.4
30344 	44821 	5750 	9 	4.50 	0.02 	0.063 	0.007 	1.09 	0.02 	1.026 	0.005 	1.2 	0.8 	2.4
30476 	45289 	5710 	5 	4.26 	0.01 	−0.022 	0.004 	1.03 	0.01 	0.980 	0.002 	9.5 	9.3 	9.8
30502 	45346 	5721 	6 	4.41 	0.02 	−0.076 	0.006 	0.98 	0.02 	0.960 	0.003 	6.8 	6.1 	7.5
33094 	50806 	5662 	7 	4.16 	0.02 	0.043 	0.005 	1.13 	0.01 	1.005 	0.007 	9.9 	9.6 	10.2
34511 	54351 	5819 	6 	4.47 	0.02 	−0.103 	0.006 	1.03 	0.02 	1.005 	0.007 	3.2 	2.5 	4.1
36512 	59711 	5737 	4 	4.41 	0.01 	−0.117 	0.004 	0.99 	0.01 	0.957 	0.004 	6.8 	6.4 	7.4
36515 	59967 	5847 	12 	4.54 	0.02 	−0.021 	0.009 	1.17 	0.02 	1.046 	0.006 	0.6 	0.0 	1.1
38072 	63487 	5849 	8 	4.49 	0.02 	0.058 	0.007 	1.14 	0.02 	1.059 	0.005 	0.9 	0.5 	1.9
40133 	68168 	5755 	4 	4.37 	0.01 	0.128 	0.004 	1.01 	0.01 	1.050 	0.003 	5.1 	4.8 	5.4
41317 	71334 	5700 	5 	4.38 	0.01 	−0.068 	0.004 	0.96 	0.01 	0.958 	0.004 	8.0 	7.6 	8.5
42333 	73350 	5848 	8 	4.50 	0.02 	0.138 	0.008 	1.16 	0.02 	1.086 	0.005 	1.0 	0.4 	1.5
43297 	75302 	5702 	5 	4.46 	0.01 	0.083 	0.006 	0.99 	0.02 	1.011 	0.004 	3.5 	3.0 	4.4
44713 	78429 	5768 	6 	4.28 	0.01 	0.088 	0.005 	1.06 	0.01 	1.039 	0.003 	7.3 	7.0 	7.6
44935 	78534 	5782 	5 	4.37 	0.01 	0.058 	0.005 	1.04 	0.01 	1.020 	0.001 	6.1 	5.6 	6.5
44997 	78660 	5731 	5 	4.47 	0.02 	−0.023 	0.005 	0.95 	0.01 	0.995 	0.008 	3.7 	2.8 	4.7
49756 	88072 	5795 	4 	4.42 	0.01 	0.043 	0.004 	1.01 	0.01 	1.022 	0.004 	4.6 	4.0 	5.0
54102 	96116 	5820 	9 	4.51 	0.02 	−0.014 	0.007 	1.02 	0.02 	1.035 	0.007 	0.5 	0.3 	1.7
54287 	96423 	5727 	4 	4.36 	0.01 	0.118 	0.004 	1.01 	0.01 	1.035 	0.005 	6.0 	5.6 	6.3
54582 	97037 	5875 	7 	4.27 	0.02 	−0.080 	0.005 	1.17 	0.01 	1.032 	0.006 	7.1 	6.8 	7.4
55409 	98649 	5700 	6 	4.40 	0.02 	−0.080 	0.006 	0.94 	0.02 	0.950 	0.001 	7.9 	7.1 	8.4
62039 	110537 	5753 	6 	4.35 	0.02 	0.088 	0.005 	1.05 	0.01 	1.028 	0.004 	6.3 	5.9 	6.8
64150 	114174 	5747 	6 	4.39 	0.02 	0.030 	0.007 	1.00 	0.02 	0.991 	0.004 	6.4 	5.7 	7.0
64673 	115031 	5918 	8 	4.35 	0.02 	−0.030 	0.007 	1.21 	0.02 	1.048 	0.007 	5.4 	4.7 	5.7
64713 	115169 	5767 	8 	4.46 	0.02 	−0.067 	0.007 	1.00 	0.02 	0.989 	0.009 	4.0 	3.0 	5.2
65708 	117126 	5755 	6 	4.25 	0.02 	−0.066 	0.006 	1.09 	0.01 	0.987 	0.005 	9.2 	8.9 	9.5
67620 	120690 	5670 	9 	4.41 	0.03 	−0.018 	0.009 	1.01 	0.03 	0.954 	0.006 	7.5 	6.2 	8.3
68468 	122194 	5845 	6 	4.37 	0.02 	0.054 	0.005 	1.13 	0.01 	1.040 	0.002 	5.2 	4.7 	5.6
69645 	124523 	5743 	6 	4.44 	0.02 	−0.045 	0.006 	0.99 	0.02 	0.981 	0.008 	5.2 	4.3 	6.0
72043 	129814 	5842 	8 	4.35 	0.02 	−0.034 	0.007 	1.12 	0.02 	1.015 	0.006 	6.4 	5.9 	6.8
73241 	131923 	5669 	8 	4.27 	0.02 	0.082 	0.007 	1.01 	0.02 	0.991 	0.004 	9.3 	8.9 	9.6
73815 	133600 	5788 	6 	4.37 	0.02 	0.004 	0.005 	1.05 	0.01 	1.003 	0.005 	6.5 	6.0 	6.9
74389 	134664 	5844 	5 	4.49 	0.01 	0.077 	0.004 	1.07 	0.01 	1.065 	0.005 	0.9 	0.7 	1.7
74432 	135101 	5684 	8 	4.25 	0.02 	0.037 	0.007 	1.09 	0.02 	0.986 	0.005 	9.6 	9.3 	9.9
76114 	138573 	5733 	6 	4.42 	0.02 	−0.037 	0.006 	0.97 	0.02 	0.977 	0.007 	6.1 	5.2 	6.8
77052 	140538 	5683 	5 	4.48 	0.02 	0.036 	0.006 	0.96 	0.02 	0.993 	0.007 	3.2 	2.4 	4.3
77883 	142331 	5690 	6 	4.40 	0.02 	−0.006 	0.006 	0.99 	0.02 	0.969 	0.003 	7.1 	6.4 	7.8
79578 	145825 	5820 	5 	4.47 	0.01 	0.057 	0.005 	1.04 	0.01 	1.052 	0.007 	2.3 	1.4 	2.8
79672 	146233 	5814 	3 	4.45 	0.01 	0.056 	0.003 	1.02 	0.01 	1.045 	0.005 	3.0 	2.4 	3.3
79715 	145927 	5803 	6 	4.38 	0.02 	−0.041 	0.005 	1.09 	0.01 	0.998 	0.004 	6.4 	5.9 	6.8
81746 	150248 	5715 	5 	4.40 	0.02 	−0.086 	0.004 	0.99 	0.01 	0.960 	0.002 	7.6 	6.8 	8.0
83276 	153631 	5885 	8 	4.22 	0.02 	−0.089 	0.006 	1.23 	0.01 	1.038 	0.008 	7.4 	7.1 	7.7
85042 	157347 	5694 	5 	4.41 	0.02 	0.015 	0.004 	1.00 	0.01 	0.975 	0.005 	6.7 	5.9 	7.2
87769 	163441 	5807 	6 	4.40 	0.02 	0.041 	0.006 	1.05 	0.01 	1.024 	0.005 	5.2 	4.3 	5.7
89650 	167060 	5841 	5 	4.44 	0.02 	−0.037 	0.005 	1.08 	0.01 	1.026 	0.006 	3.8 	3.0 	4.4
95962 	183658 	5806 	5 	4.44 	0.02 	0.023 	0.005 	1.04 	0.01 	1.024 	0.007 	4.2 	3.1 	4.7
96160 	183579 	5781 	8 	4.50 	0.02 	−0.053 	0.007 	0.96 	0.02 	1.009 	0.007 	2.4 	1.3 	3.0
101905 	196390 	5890 	6 	4.47 	0.02 	0.057 	0.006 	1.07 	0.02 	1.072 	0.008 	1.1 	0.8 	2.3
102040 	197076A 	5838 	6 	4.48 	0.02 	−0.093 	0.006 	1.05 	0.02 	1.018 	0.008 	2.9 	1.7 	3.5
102152 	197027 	5718 	5 	4.40 	0.02 	−0.020 	0.005 	0.95 	0.01 	0.972 	0.004 	6.7 	6.0 	7.4
103983 	200565 	5752 	10 	4.51 	0.02 	−0.048 	0.008 	0.96 	0.02 	1.000 	0.008 	1.9 	1.0 	2.8
104045 	200633 	5831 	6 	4.47 	0.02 	0.045 	0.005 	1.00 	0.01 	1.045 	0.007 	2.5 	1.4 	3.1
105184 	202628 	5833 	11 	4.54 	0.02 	−0.002 	0.009 	0.99 	0.02 	1.045 	0.008 	0.3 	0.2 	0.7
108158 	207700 	5687 	7 	4.34 	0.02 	0.050 	0.007 	0.97 	0.02 	0.980 	0.003 	8.3 	7.8 	8.7
108468 	208704 	5829 	7 	4.33 	0.02 	−0.111 	0.006 	1.16 	0.01 	0.990 	0.003 	7.5 	7.1 	7.9
108996 	209562 	5847 	17 	4.53 	0.03 	0.064 	0.013 	1.11 	0.03 	1.060 	0.009 	1.0 	0.0 	1.7
109110 	209779 	5787 	17 	4.50 	0.04 	0.035 	0.014 	1.06 	0.03 	1.026 	0.011 	1.8 	1.0 	3.4
109821 	210918 	5746 	7 	4.31 	0.02 	−0.115 	0.005 	1.06 	0.01 	0.960 	0.003 	9.2 	8.8 	9.6
114615 	219057 	5816 	9 	4.52 	0.02 	−0.077 	0.008 	1.04 	0.02 	1.022 	0.008 	0.5 	0.2 	1.6
115577 	220507 	5699 	9 	4.25 	0.03 	0.036 	0.008 	1.12 	0.02 	0.989 	0.006 	9.5 	9.1 	9.8
116906 	222582 	5792 	6 	4.37 	0.02 	0.010 	0.005 	1.05 	0.01 	1.003 	0.005 	6.5 	6.0 	6.8
117367 	223238 	5871 	8 	4.32 	0.02 	0.044 	0.007 	1.15 	0.02 	1.050 	0.007 	5.9 	5.5 	6.3
118115 	224383 	5808 	7 	4.28 	0.02 	−0.017 	0.006 	1.12 	0.01 	1.013 	0.005 	7.7 	7.3 	8.0 
